rank|id|title|original_language|overview|poster|backdrop|popularity|vote_average|vote_count|created_date
46|423|The Pianist|en|The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.|https://image.tmdb.org/t/p/original/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg|https://image.tmdb.org/t/p/original/dVr11o9or7AS8AMPfwjSpEU83iU.jpg|39.881|8.4|8369|2023-10-05 23:17:57
47|244786|Whiplash|en|Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.|https://image.tmdb.org/t/p/original/7fn624j5lj3xTme2SgiLCeuedmO.jpg|https://image.tmdb.org/t/p/original/vNXGrknx4GjWLgmuNTftWZluIUl.jpg|71.636|8.4|13904|2023-10-05 23:17:57
48|255709|Hope|ko|After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.|https://image.tmdb.org/t/p/original/x9yjkm9gIz5qI5fJMUTfBnWiB2o.jpg|https://image.tmdb.org/t/p/original/l5K9elugftlcyIHHm4nylvsn26X.jpg|16.906|8.4|577|2023-10-05 23:17:57
49|807|Se7en|en|Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the seven deadly sins in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.|https://image.tmdb.org/t/p/original/6yoghtyTpznpBik8EngEmJskVUO.jpg|https://image.tmdb.org/t/p/original/hWrxRwnnisPE4LJdER3FmdeM39b.jpg|58.117|8.4|19423|2023-10-05 23:17:57
50|27205|Inception|en|Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: inception, the implantation of another person's idea into a target's subconscious.|https://image.tmdb.org/t/p/original/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg|https://image.tmdb.org/t/p/original/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg|86.51|8.4|34529|2023-10-05 23:17:57
51|92321|Hotarubi no Mori e|ja|One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...|https://image.tmdb.org/t/p/original/mDqzHV8UXWWNpZkoAbKmKX1ZxEE.jpg|https://image.tmdb.org/t/p/original/qknxyRgP6UTmwJ4B9tDAmzHMq7u.jpg|0.6|8.4|993|2023-10-05 23:17:57
52|567|Rear Window|en|A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.|https://image.tmdb.org/t/p/original/qitnZcLP7C9DLRuPpmvZ7GiEjJN.jpg|https://image.tmdb.org/t/p/original/8aEe01VfGtYG2dFy9V5MqyyNPlh.jpg|24.643|8.4|5900|2023-10-05 23:17:57
53|73|American History X|en|Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.|https://image.tmdb.org/t/p/original/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg|https://image.tmdb.org/t/p/original/9LSsSPbP715XT9B7acIZzantPyX.jpg|31.766|8.4|10743|2023-10-05 23:17:57
54|820067|The Quintessential Quintuplets Movie|ja|When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?|https://image.tmdb.org/t/p/original/sg7klpt1xwK1IJirBI9EHaqQwJ5.jpg|https://image.tmdb.org/t/p/original/jBIMZ0AlUYuFNsKbd4L6FojWMoy.jpg|56.656|8.3|328|2023-10-05 23:17:57
55|652837|Josee, the Tiger and the Fish|ja|With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.|https://image.tmdb.org/t/p/original/xAbSLi61npWyVs5M0yxin3dKcGO.jpg|https://image.tmdb.org/t/p/original/i1GT0e6Crg6UezT3ibXnMS3pBAd.jpg|24.304|8.3|367|2023-10-05 23:17:57
